epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.5595,0.60377,0.8975,1,0.34468,0.000415476,0.000415476,0.000415476
2,79.9848,0.37281,0.8475,1,0.5208,0.000823905,0.000823905,0.000823905
3,115.996,0.35092,0.88563,1,0.42622,0.00122408,0.00122408,0.00122408
4,147.849,0.33474,0.91375,1,0.33216,0.00121287,0.00121287,0.00121287
5,180.53,0.26587,0.90062,1,0.39646,0.0012005,0.0012005,0.0012005
6,214.997,0.24871,0.90312,1,0.42802,0.00118812,0.00118812,0.00118812
7,255.921,0.2126,0.92625,1,0.42015,0.00117575,0.00117575,0.00117575
8,292.525,0.19533,0.92687,1,0.26575,0.00116337,0.00116337,0.00116337
9,339.238,0.19315,0.92563,1,0.28223,0.001151,0.001151,0.001151
10,383.401,0.17936,0.9225,1,0.29742,0.00113863,0.00113863,0.00113863
11,435.277,0.16457,0.92937,1,0.30984,0.00112625,0.00112625,0.00112625
12,474.544,0.15984,0.93625,1,0.29446,0.00111388,0.00111388,0.00111388
13,521.672,0.14244,0.93,1,0.34536,0.0011015,0.0011015,0.0011015
14,28.8285,0.13421,0.94063,1,0.28686,0.00108913,0.00108913,0.00108913
15,53.0939,0.146,0.9275,1,0.35128,0.00107675,0.00107675,0.00107675
16,77.4602,0.13407,0.9225,1,0.34706,0.00106437,0.00106437,0.00106437
17,101.238,0.1151,0.94813,1,0.28857,0.001052,0.001052,0.001052
18,125.05,0.09954,0.93937,1,0.34977,0.00103962,0.00103962,0.00103962
19,149.65,0.11175,0.93375,1,0.3926,0.00102725,0.00102725,0.00102725
20,167.726,0.09881,0.94125,1,0.37649,0.00101488,0.00101488,0.00101488
21,185.203,0.10774,0.935,1,0.40449,0.0010025,0.0010025,0.0010025
22,202.436,0.10315,0.94625,1,0.2537,0.000990125,0.000990125,0.000990125
23,219.525,0.09027,0.94687,1,0.35379,0.00097775,0.00097775,0.00097775
24,236.607,0.08093,0.95063,1,0.30857,0.000965375,0.000965375,0.000965375
25,253.856,0.09748,0.95063,1,0.3338,0.000953,0.000953,0.000953
26,270.922,0.0823,0.94687,1,0.34798,0.000940625,0.000940625,0.000940625
27,288.079,0.10859,0.94813,1,0.32821,0.00092825,0.00092825,0.00092825
28,305.26,0.09689,0.93375,1,0.42486,0.000915875,0.000915875,0.000915875
29,322.298,0.09208,0.94625,1,0.30378,0.0009035,0.0009035,0.0009035
30,339.216,0.1031,0.95187,1,0.24837,0.000891125,0.000891125,0.000891125
31,356.124,0.09101,0.9425,1,0.3082,0.00087875,0.00087875,0.00087875
32,373.185,0.09151,0.94063,1,0.32644,0.000866375,0.000866375,0.000866375
33,390.431,0.10824,0.95625,1,0.31409,0.000854,0.000854,0.000854
34,407.312,0.08583,0.95125,1,0.34123,0.000841625,0.000841625,0.000841625
35,424.213,0.08211,0.95375,1,0.39902,0.00082925,0.00082925,0.00082925
36,441.081,0.08262,0.94937,1,0.3698,0.000816875,0.000816875,0.000816875
37,458.05,0.07637,0.95312,1,0.26106,0.0008045,0.0008045,0.0008045
38,474.845,0.08495,0.9575,1,0.28323,0.000792125,0.000792125,0.000792125
39,491.728,0.07598,0.955,1,0.35498,0.00077975,0.00077975,0.00077975
40,508.626,0.07237,0.95688,1,0.24749,0.000767375,0.000767375,0.000767375
41,525.576,0.07923,0.95,1,0.36553,0.000755,0.000755,0.000755
42,542.502,0.06511,0.9625,1,0.31292,0.000742625,0.000742625,0.000742625
43,559.605,0.07087,0.95375,1,0.33407,0.00073025,0.00073025,0.00073025
44,576.641,0.07088,0.95938,1,0.33413,0.000717875,0.000717875,0.000717875
45,593.854,0.06545,0.955,1,0.3685,0.0007055,0.0007055,0.0007055
46,610.934,0.07919,0.95438,1,0.30776,0.000693125,0.000693125,0.000693125
47,627.921,0.07598,0.95625,1,0.29865,0.00068075,0.00068075,0.00068075
48,644.781,0.07056,0.95688,1,0.32128,0.000668375,0.000668375,0.000668375
49,661.665,0.06817,0.95625,1,0.35209,0.000656,0.000656,0.000656
50,678.704,0.06101,0.96188,1,0.29881,0.000643625,0.000643625,0.000643625
51,695.794,0.0667,0.95875,1,0.32295,0.00063125,0.00063125,0.00063125
52,712.669,0.054,0.95938,1,0.29671,0.000618875,0.000618875,0.000618875
53,729.602,0.05903,0.95812,1,0.32663,0.0006065,0.0006065,0.0006065
54,746.795,0.06663,0.955,1,0.31831,0.000594125,0.000594125,0.000594125
55,763.645,0.05718,0.9575,1,0.38185,0.00058175,0.00058175,0.00058175
56,780.592,0.05472,0.96062,1,0.31745,0.000569375,0.000569375,0.000569375
57,797.298,0.04798,0.95812,1,0.29495,0.000557,0.000557,0.000557
58,814.053,0.05001,0.96438,1,0.32501,0.000544625,0.000544625,0.000544625
59,830.933,0.0587,0.96312,1,0.30293,0.00053225,0.00053225,0.00053225
60,847.857,0.04572,0.95938,1,0.34227,0.000519875,0.000519875,0.000519875
61,864.715,0.04591,0.96,1,0.3365,0.0005075,0.0005075,0.0005075
62,881.573,0.05417,0.96,1,0.3637,0.000495125,0.000495125,0.000495125
63,898.921,0.05212,0.95625,1,0.34942,0.00048275,0.00048275,0.00048275
64,915.838,0.0513,0.955,1,0.38331,0.000470375,0.000470375,0.000470375
65,932.91,0.04473,0.96438,1,0.28225,0.000458,0.000458,0.000458
66,949.758,0.04654,0.96312,1,0.30654,0.000445625,0.000445625,0.000445625
67,966.548,0.05358,0.96062,1,0.37106,0.00043325,0.00043325,0.00043325
68,983.554,0.03868,0.96188,1,0.31579,0.000420875,0.000420875,0.000420875
69,1000.3,0.03589,0.965,1,0.28845,0.0004085,0.0004085,0.0004085
70,1017.24,0.03675,0.96438,1,0.28457,0.000396125,0.000396125,0.000396125
71,1034.08,0.04539,0.96312,1,0.30391,0.00038375,0.00038375,0.00038375
72,1050.97,0.04152,0.96375,1,0.30757,0.000371375,0.000371375,0.000371375
73,1067.75,0.04346,0.96188,1,0.33843,0.000359,0.000359,0.000359
74,1084.57,0.04455,0.95938,1,0.33701,0.000346625,0.000346625,0.000346625
75,1101.31,0.03866,0.96062,1,0.34904,0.00033425,0.00033425,0.00033425
76,1118.37,0.04245,0.96688,1,0.28788,0.000321875,0.000321875,0.000321875
77,1135.28,0.04229,0.96312,1,0.30536,0.0003095,0.0003095,0.0003095
78,1152.11,0.04031,0.9625,1,0.33069,0.000297125,0.000297125,0.000297125
79,1169.02,0.03757,0.96125,1,0.33058,0.00028475,0.00028475,0.00028475
80,1185.85,0.03051,0.96562,1,0.30263,0.000272375,0.000272375,0.000272375
81,1202.73,0.03593,0.9625,1,0.32268,0.00026,0.00026,0.00026
82,1219.55,0.02881,0.96312,1,0.30178,0.000247625,0.000247625,0.000247625
83,1236.31,0.03259,0.96438,1,0.30694,0.00023525,0.00023525,0.00023525
