epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.647,1.74679,3.75909,1.74886,0.62804,0.42795,0.52566,0.25944,1.698,4.05407,1.9176,0.000412736,0.000412736,0.000412736
2,917.789,1.73294,2.68883,1.69206,0.44292,0.48596,0.44138,0.20873,1.76774,3.88356,1.96153,0.000821191,0.000821191,0.000821191
3,1379.97,1.68539,2.22735,1.6586,0.3837,0.58184,0.49283,0.23584,1.80335,3.37092,1.90438,0.0012214,0.0012214,0.0012214
4,1842.85,1.6894,1.91033,1.64482,0.5538,0.56857,0.59201,0.30085,1.70661,2.21229,1.80111,0.00121287,0.00121287,0.00121287
5,2287.18,1.65241,1.70349,1.61326,0.51503,0.60369,0.59275,0.31386,1.70969,2.23164,1.82862,0.0012005,0.0012005,0.0012005
6,3481.27,1.64717,1.57824,1.60905,0.69814,0.60843,0.70071,0.36211,1.75764,1.939,1.83301,0.00118812,0.00118812,0.00118812
7,6157.98,1.62564,1.50629,1.59038,0.79953,0.67,0.76831,0.41517,1.66518,1.60093,1.73691,0.00117575,0.00117575,0.00117575
8,6799.91,1.58751,1.43833,1.58397,0.76304,0.75727,0.80714,0.43205,1.66053,1.33334,1.71088,0.00116337,0.00116337,0.00116337
9,7528.95,1.5744,1.34103,1.55224,0.74162,0.52874,0.63654,0.34335,1.68325,1.80484,1.72002,0.001151,0.001151,0.001151
10,8106.65,1.54879,1.31594,1.53401,0.75619,0.72845,0.78725,0.42873,1.57255,1.43305,1.67687,0.00113863,0.00113863,0.00113863
11,8670.03,1.53747,1.26042,1.53108,0.78049,0.71198,0.77431,0.40352,1.70394,1.37969,1.7639,0.00112625,0.00112625,0.00112625
12,9118.34,1.55871,1.24826,1.5201,0.8072,0.8102,0.85125,0.47858,1.61018,1.21285,1.6672,0.00111388,0.00111388,0.00111388
13,9553.94,1.54164,1.21168,1.50835,0.83113,0.76951,0.84516,0.46081,1.61124,1.26221,1.6594,0.0011015,0.0011015,0.0011015
14,9978,1.52387,1.16559,1.51198,0.71646,0.78375,0.84177,0.45761,1.65553,1.30383,1.71735,0.00108913,0.00108913,0.00108913
15,10399.7,1.49274,1.16794,1.49192,0.84023,0.77028,0.84723,0.45456,1.63865,1.18742,1.73544,0.00107675,0.00107675,0.00107675
16,10818.6,1.50531,1.14468,1.49142,0.73519,0.76468,0.79393,0.42444,1.63739,1.3928,1.70011,0.00106437,0.00106437,0.00106437
17,11231.4,1.47863,1.13324,1.46981,0.76275,0.80391,0.85693,0.46603,1.62437,1.18175,1.66703,0.001052,0.001052,0.001052
18,12058.8,1.47938,1.07921,1.47917,0.85576,0.81459,0.88969,0.50626,1.5621,1.03741,1.6409,0.00103962,0.00103962,0.00103962
19,12607.3,1.47909,1.0463,1.46541,0.84588,0.8428,0.88797,0.49475,1.55558,0.99814,1.63807,0.00102725,0.00102725,0.00102725
20,13138.9,1.44785,1.03882,1.46141,0.83701,0.8356,0.87975,0.49707,1.55293,0.99732,1.60424,0.00101488,0.00101488,0.00101488
21,13673.3,1.4577,1.04238,1.46678,0.87944,0.84779,0.91787,0.50593,1.5686,0.90972,1.63145,0.0010025,0.0010025,0.0010025
